기업코드,기업명,종목코드,종합점수,점수갱신일
00407285,아이컴포넌트,059100,0,0
00445054,하나마이크론,067310,0,0
00629212,딜리,131180,0,0
00219440,휴맥스홀딩스,028080,0,0
00657783,모델솔루션,417970,0,0
01061558,덕산네오룩스,213420,0,0
00255619,강원랜드,035250,0,0
00239596,쎄니트,037760,0,0
00133089,성원,015200,0,0
00117601,유안타증권,003470,0,0
01109122,에스엘테라퓨틱스,258540,0,0
01309069,타이드,346010,0,0
00181712,SK,034730,0,0
00631518,SK이노베이션,096770,0,0
00117577,오리온홀딩스,001800,0,0
00125150,SGC에너지,005090,0,0
00166573,환인제약,016580,0,0
00261656,잉크테크,049550,0,0
00263654,오스코텍,039200,0,0
00126487,F&F 홀딩스,007700,0,0
01504804,유안타제7호기업인수목적,367460,0,0
00577335,대성하이텍,129920,0,0
00263371,한국경제TV,039340,0,0
00113508,노루홀딩스,000320,0,0
00269922,인바디,041830,0,0
00153755,태양금속공업,004100,0,0
00132804,성신양회,004980,0,0
01222432,에스제이그룹,306040,0,0
01020843,원익피앤이,217820,0,0
01437186,ESR켄달스퀘어리츠,365550,0,0
00945776,지슨,289860,0,0
01612608,신영스팩7호,419270,0,0
00862853,플레이디,237820,0,0
00244455,케이티앤지,033780,0,0
00139889,SKC,011790,0,0
00106623,현대위아,011210,0,0
00131850,SK증권,001510,0,0
01513404,하나머스트7호스팩,372290,0,0
00157636,케이피에프,024880,0,0
00407975,엔터미디어,068420,0,0
00174208,진성티이씨,036890,0,0
01586455,꿈비,407400,0,0
01616808,키움제6호스팩,413600,0,0
00659976,영화테크,265560,0,0
00447575,제이앤티씨,204270,0,0
00875307,야스,255440,0,0
01160512,헝셩그룹,900270,0,0
01020269,탈로스,434190,0,0
00785475,원익피앤이,131390,0,0
00255275,HB테크놀러지,078150,0,0
00855093,선진,136490,0,0
00576798,디아이티,110990,0,0
00117230,TYM,002900,0,0
00128412,삼진제약,005500,0,0
00143262,우진아이엔에스,010400,0,0
01159233,솔루엠,248070,0,0
01012066,HK이노엔,195940,0,0
00160861,한농화성,011500,0,0
00114093,덕성,004830,0,0
00144395,동서,026960,0,0
00135795,신도리코,029530,0,0
00181299,상아프론테크,089980,0,0
00409371,인베니아,079950,0,0
01364747,가온칩스,399720,0,0
01152470,펄어비스,263750,0,0
00347442,모보,051810,0,0
00415628,세진중공업,075580,0,0
00173740,신한,005450,0,0
00654272,램테크놀러지,171010,0,0
00373447,서린바이오,038070,0,0
00990165,아세아시멘트,183190,0,0
00199076,동일기연,032960,0,0
00809517,아이엠텍,226350,0,0
00165680,호텔신라,008770,0,0
00123718,부광약품,003000,0,0
01012987,아모센스,357580,0,0
00159342,한국정보통신,025770,0,0
00327819,선익시스템,171090,0,0
00129509,한익스프레스,014130,0,0
00257732,한국정밀기계,101680,0,0
00793155,핸디소프트,220180,0,0
00176516,금화피에스시,036190,0,0
00138367,플레이위드,023770,0,0
00684714,풍산,103140,0,0
00126371,삼성전기,009150,0,0
00148993,하이트진로홀딩스,000140,0,0
00565154,이노션,214320,0,0
00106313,금호건설,002990,0,0
01686755,파인엠텍,441270,0,0
00238199,로지시스,067730,0,0
00111999,대원제약,003220,0,0
01153293,제이엘케이,322510,0,0
00141282,에이치디씨영창,001890,0,0
00593032,LF,093050,0,0
00103644,비츠로테크,042370,0,0
00124799,사조산업,007160,0,0
00352064,프리엠스,053160,0,0
00133511,SG세계물산,004060,0,0
00414601,유니퀘스트,077500,0,0
00199988,동아화성,041930,0,0
00160302,코스모화학,005420,0,0
00136095,조은저축은행,031920,0,0
00416654,유엔젤,072130,0,0
00384762,파커스,065690,0,0
01208885,경동도시가스,267290,0,0
00577380,신진에스엠,138070,0,0
00102140,경인전자,009140,0,0
00435969,인피니트헬스케어,071200,0,0
00292434,인트론바이오,048530,0,0
00670340,씨에스윈드,112610,0,0
00171867,에스씨디,042110,0,0
00131018,서울제약,018680,0,0
00258102,지엔코,065060,0,0
00230425,나노엔텍,039860,0,0
00287788,정상제이엘에스,040420,0,0
00173795,신흥,004080,0,0
00307897,신한카드,032710,0,0
00159209,한전기술,052690,0,0
01117246,EMB,278990,0,0
01047840,미스터블루,207760,0,0
01246742,테크트랜스,258050,0,0
01419135,이노진,344860,0,0
00587457,갤럭시아머니트리,094480,0,0
00760971,크래프톤,259960,0,0
00126256,삼성생명,032830,0,0
00666204,제너셈,217190,0,0
00124276,부스타,008470,0,0
00328191,케이에스피,073010,0,0
00155151,피에이치에이,043370,0,0
00143527,경동인베스트,012320,0,0
00148470,제일전기공업,199820,0,0
00611286,블루탑,191600,0,0
00138446,아가방컴퍼니,013990,0,0
00296263,YW,051390,0,0
00269612,파워로직스,047310,0,0
00111218,KD,044180,0,0
00495086,픽셀플러스,087600,0,0
00479787,인텍플러스,064290,0,0
00258801,카카오,035720,0,0
00876643,엔피디,198080,0,0
00350482,성우테크론,045300,0,0
00256715,국순당,043650,0,0
00219097,BGF,027410,0,0
00799177,삼기,122350,0,0
00127936,삼일기업공사,002290,0,0
00154055,태원물산,001420,0,0
01091054,쎄노텍,222420,0,0
00447928,네오티스,085910,0,0
00103130,플레이그램,009810,0,0
00428251,현대백화점,069960,0,0
00927558,유바이오로직스,206650,0,0
00144164,SK가스,018670,0,0
01214743,더네이쳐홀딩스,298540,0,0
00159564,한국주강,025890,0,0
00759294,와이솔,122990,0,0
00112165,디아이씨,092200,0,0
00149804,대유에이텍,002880,0,0
00764807,골프존데카,183410,0,0
00340917,동원F&B,049770,0,0
00346610,이노시스,056090,0,0
00513948,녹십자엠에스,142280,0,0
00356927,에이디칩스,054630,0,0
00445799,서원인텍,093920,0,0
00366845,탑엔지니어링,065130,0,0
01676989,케이비제23호스팩,440200,0,0
01326279,아이엘사이언스,307180,0,0
01497869,티와이홀딩스,363280,0,0
00109189,대덕,008060,0,0
01316227,효성티앤씨,298020,0,0
00222532,LG헬로비전,037560,0,0
01478712,대덕전자,353200,0,0
00875237,씨앤투스,352700,0,0
01656374,신영스팩8호,430220,0,0
00143314,에이엔피,015260,0,0
00138701,아세아,002030,0,0
00300405,오리엔트정공,065500,0,0
00983271,엔에이치엔,181710,0,0
00364306,성우전자,081580,0,0
01099667,에스디생명공학,217480,0,0
00377018,기가레인,049080,0,0
00104537,국영지앤엠,006050,0,0
00244783,한네트,052600,0,0
00112022,대원화성,024890,0,0
00148276,제일기획,030000,0,0
00298270,안랩,053800,0,0
01336762,라이프시맨틱스,347700,0,0
01396931,유엑스엔,337840,0,0
00152783,코메론,049430,0,0
00302926,현대로템,064350,0,0
00201450,SK렌터카,068400,0,0
00411808,제이오,418550,0,0
00101336,경남에너지,008020,0,0
01442966,마스턴프리미어리츠,357430,0,0
00167280,폴루스바이오팜,007630,0,0
00625942,한솔아이원스,114810,0,0
00105299,금강공업,014280,0,0
00102751,고려산업,002140,0,0
00110893,대신증권,003540,0,0
01408999,웨이버스,336060,0,0
00129235,삼화왕관,004450,0,0
01689938,신영스팩9호,445970,0,0
01316236,효성화학,298000,0,0
00623661,원익머트리얼즈,104830,0,0
00161408,케이비캐피탈,021960,0,0
00159102,DB손해보험,005830,0,0
01076550,주노콜렉션,221670,0,0
00149646,기업은행,024110,0,0
00111014,애큐온저축은행,007640,0,0
01251489,라온피플,300120,0,0
00480048,모다이노칩,080420,0,0
00618401,크루셜텍,114120,0,0
00108913,대교,019680,0,0
00171265,파라다이스,034230,0,0
00226866,인탑스,049070,0,0
00361488,텔코웨어,078000,0,0
00220969,오공,045060,0,0
00122898,벽산,007210,0,0
01416642,다보링크,340360,0,0
01157235,아스타,246720,0,0
01101041,패션플랫폼,225590,0,0
00132488,신세계톰보이,012580,0,0
01327092,라닉스,317120,0,0
00365758,아이앤씨,052860,0,0
00603348,케이아이엔엑스,093320,0,0
00667425,에이팩트,200470,0,0
00113535,대한해운,005880,0,0
00808022,메지온,140410,0,0
00937324,한국타이어앤테크놀로지,161390,0,0
00168331,국동,005320,0,0
00626710,한국월드와이드베트남부동산개발특별자산1호투자회사,096300,0,0
00939331,한국콜마,161890,0,0
00301422,우수AMS,066590,0,0
00972293,파멥신,208340,0,0
00915508,알엔투테크놀로지,148250,0,0
01462605,지투파워,388050,0,0
00557508,GKL,114090,0,0
00210980,원익,032940,0,0
00296005,우리로,046970,0,0
01077577,우리산업,215360,0,0
00308559,코디,080530,0,0
00153278,서연탑메탈,019770,0,0
00988364,SGA솔루션즈,184230,0,0
00187725,코콤,015710,0,0
00231372,롯데관광개발,032350,0,0
00838962,알서포트,131370,0,0
00221728,하츠,066130,0,0
00256043,비씨월드제약,200780,0,0
00761952,아나패스,123860,0,0
00129271,삼화전기,009470,0,0
01591606,IBKS제17호스팩,405350,0,0
00164812,현대코퍼레이션,011760,0,0
00164645,HMM,011200,0,0
00188797,포메탈,119500,0,0
00638539,뉴로스,126870,0,0
01026616,유투바이오,221800,0,0
00656021,시티랩스,139050,0,0
01221752,지에프씨생명과학,388610,0,0
01416457,하나금융15호기업인수목적,341160,0,0
00756163,볼빅,206950,0,0
00526696,웨이브일렉트로,095270,0,0
01243161,인산가,277410,0,0
01069736,한독크린텍,256150,0,0
00660033,씨엔플러스,115530,0,0
00599595,BGF에코머티리얼즈,126600,0,0
00111810,대웅,003090,0,0
01070857,켐온,217600,0,0
00540340,코리아센터,290510,0,0
01632851,IBKS제19호스팩,426550,0,0
00397289,오텍,067170,0,0
01116380,씨앤에스링크,245450,0,0
00172291,더존비즈온,012510,0,0
00103176,흥국화재,000540,0,0
00126788,삼아제약,009300,0,0
01263527,카이노스메드,284620,0,0
00374020,이엘피,063760,0,0
01139965,스튜디오미르,408900,0,0
01335851,박셀바이오,323990,0,0
00462121,이노와이어리스,073490,0,0
00526599,덴티움,145720,0,0
00616290,이엠넷,123570,0,0
00372226,티에스이,131290,0,0
00126186,삼성에스디에스,018260,0,0
00300548,현대리바트,079430,0,0
00766106,트루윈,105550,0,0
00560982,바이오솔루션,086820,0,0
00765462,씨에스베어링,297090,0,0
01109955,링크제니시스,219420,0,0
01571107,오픈엣지테크놀로지,394280,0,0
00372882,KTcs,058850,0,0
00160047,한국앤컴퍼니,000240,0,0
00362441,현대오토에버,307950,0,0
00188089,한섬,020000,0,0
00878915,DGB금융지주,139130,0,0
00635134,CJ제일제당,097950,0,0
00164742,현대자동차,005380,0,0
00106368,금호석유화학,011780,0,0
00264228,위즈코프,038620,0,0
00137058,신일제약,012790,0,0
00843900,육일씨엔에쓰,191410,0,0
00149026,CS홀딩스,000590,0,0
00256380,유아이엘,049520,0,0
00167004,흥구석유,024060,0,0
00295370,제이앤케이인더스트리,039230,0,0
01199189,이랜시스,264850,0,0
00302120,피앤텔,054340,0,0
00874937,탑선,180060,0,0
01416572,세림B&G,340440,0,0
00990396,뿌리깊은나무들,266170,0,0
00323868,웹케시,053580,0,0
01405585,윙스풋,335870,0,0
00104786,미래아이앤지,007120,0,0
00112721,대창스틸,140520,0,0
00624998,제닉,123330,0,0
00624509,디바이스이엔지,187870,0,0
00123781,부국철강,026940,0,0
00604815,에스디시스템,121890,0,0
00454946,그린케미칼,083420,0,0
00812362,디에스앤엘,141020,0,0
00606293,나이스디앤비,130580,0,0
00155498,풍림산업,001310,0,0
00608802,텔콘RF제약,200230,0,0
01188730,SK시그넷,260870,0,0
00135999,신라섬유,001000,0,0
00309831,알에프텍,061040,0,0
01381984,비트나인,357880,0,0
01316245,효성중공업,298040,0,0
00366942,미코,059090,0,0
00261285,한국가스공사,036460,0,0
01291317,더블유씨피,393890,0,0
01011562,우성아이비,194610,0,0
01336443,디와이씨,310870,0,0
00961774,유티아이,179900,0,0
00299844,미래반도체,254490,0,0
00154718,비츠로셀,082920,0,0
00350020,파인디앤씨,049120,0,0
00117382,디와이홀딩스,004510,0,0
00409672,티비에이치글로벌,084870,0,0
00125646,삼목에스폼,018310,0,0
00260569,유니셈,036200,0,0
00106881,인디에프,014990,0,0
00131692,서흥,008490,0,0
00122737,팬오션,028670,0,0
01325979,세아제강,306200,0,0
01311055,쿠콘,294570,0,0
00453488,다이나믹디자인,145210,0,0
00422284,메가스터디,072870,0,0
00313649,현대바이오,048410,0,0
00497631,티플랙스,081150,0,0
00351579,SGA,049470,0,0
00107677,비비안,002070,0,0
00234227,유진로봇,056080,0,0
00267854,메디앙스,014100,0,0
00402989,코스온,069110,0,0
00186559,콤텍시스템,031820,0,0
00145668,이화공영,001840,0,0
00527464,에이치시티,072990,0,0
00249982,솔본,035610,0,0
00110608,DSR,155660,0,0
01259311,푸드나무,290720,0,0
00929228,엔에스컴퍼니,224760,0,0
00526836,미래나노텍,095500,0,0
01325429,네온테크,306620,0,0
00159971,KC그린홀딩스,009440,0,0
01059605,디와이파워,210540,0,0
00681249,씨유메디칼,115480,0,0
00260657,오상헬스케어,036220,0,0
00307028,경남제약,053950,0,0
00130408,서산,079650,0,0
00117966,동원개발,013120,0,0
00899556,제룡산업,147830,0,0
00131328,두함지개발,016140,0,0
00578538,티피씨글로벌,130740,0,0
00540429,휴림로봇,090710,0,0
00231831,조아제약,034940,0,0
01203808,AP시스템,265520,0,0
01591262,디비금융스팩10호,404950,0,0
01288827,HPSP,403870,0,0
01124680,보라티알,250000,0,0
00398808,디지털대성,068930,0,0
00124577,엠소닉,008120,0,0
01672053,케이비제22호스팩,436530,0,0
00128175,원익큐브,014190,0,0
00970453,파마리서치,214450,0,0
00408266,유니온커뮤니티,203450,0,0
01344752,케어룸의료산업,327970,0,0
00407036,선바이오,067370,0,0
00146861,자화전자,033240,0,0
00369213,리노스,039980,0,0
00306454,한국정보인증,053300,0,0
00163345,DB,012030,0,0
00252001,해원에스티,058480,0,0
00525934,LX세미콘,108320,0,0
00753643,컨버즈,109070,0,0
00161709,퍼시스,016800,0,0
00265005,옴니시스템,057540,0,0
00104856,삼성증권,016360,0,0
00104120,광진실업,026910,0,0
00449254,쎄트렉아이,099320,0,0
00626011,아이텍,119830,0,0
00346407,큐로컴,040350,0,0
00414850,효성 ITX,094280,0,0
00348034,액토즈소프트,052790,0,0
00508274,일진다이아,081000,0,0
00367482,라이트론,069540,0,0
00140566,한탑,002680,0,0
01246034,네오펙트,290660,0,0
01038693,드림시큐리티,203650,0,0
00832700,에이펙스인텍,207490,0,0
01261644,레인보우로보틱스,277810,0,0
00531829,엠아이텍,179290,0,0
00761059,펌텍코리아,251970,0,0
00613318,와이지엔터테인먼트,122870,0,0
00622787,바이오노트,377740,0,0
01219155,네오크레마,311390,0,0
00676122,지디,155960,0,0
00136402,신송홀딩스,006880,0,0
00107987,남해화학,025860,0,0
00159874,한국컴퓨터지주,009760,0,0
00633835,HJ중공업,097230,0,0
01436336,이베스트기업인수목적5호,349720,0,0
01480780,NH올원리츠,400760,0,0
00412597,현대홈쇼핑,057050,0,0
00533809,바스칸바이오제약,354390,0,0
00153375,태광,023160,0,0
00155638,피에스텍,002230,0,0
01672114,한국제11호스팩,436610,0,0
00521433,엔지브이아이,093510,0,0
00119140,핸즈코퍼레이션,143210,0,0
00155452,풍국주정,023900,0,0
00111847,대원강업,000430,0,0
00728638,한세실업,105630,0,0
00842585,네이블커뮤니케이션즈,153460,0,0
01109539,와이아이케이,232140,0,0
01021666,덕산테코피아,317330,0,0
00133335,성창기업지주,000180,0,0
00122481,태경비케이,014580,0,0
01008762,데브시스터즈,194480,0,0
01387164,샤페론,378800,0,0
00123648,심팩인더스트리,005350,0,0
00369833,유니온머티리얼,047400,0,0
00173999,유성티엔에스,024800,0,0
01526806,삼기이브이,419050,0,0
00536523,로보스타,090360,0,0
00141307,영풍,000670,0,0
00140131,키다리스튜디오,020120,0,0
01136001,나노브릭,286750,0,0
00164478,현대건설,000720,0,0
00131054,유진증권,001200,0,0
01097906,KH 건설,226360,0,0
00982023,실리콘투,257720,0,0
00162911,한일사료,005860,0,0
00828789,대성산업,128820,0,0
01514519,유진스팩6호,373340,0,0
00151368,인터지스,129260,0,0
00169215,에너토크,019990,0,0
00185356,제룡전기,033100,0,0
00925967,이엠티,232530,0,0
00164706,현대약품,004310,0,0
00126292,삼성카드,029780,0,0
00164973,현대해상,001450,0,0
00159698,지역난방공사,071320,0,0
00128555,삼천리,004690,0,0
00200275,YTN,040300,0,0
00149345,조흥,002600,0,0
01398151,밸로프,331520,0,0
00112679,대창단조,015230,0,0
01593242,하나금융21호스팩,406760,0,0
00131896,선광,003100,0,0
01569838,유진스팩7호,388800,0,0
00103662,광명전기,017040,0,0
01042359,지엘팜텍,204840,0,0
01113949,퓨전,195440,0,0
00406329,루멘스,038060,0,0
01515864,넥스트칩,396270,0,0
00158963,유나이티드,033270,0,0
00141246,SGC이테크건설,016250,0,0
01274329,성일하이텍,365340,0,0
01042650,큐리언트,115180,0,0
00359076,브리지텍,064480,0,0
00439965,나노신소재,121600,0,0
00109019,대구은행,005270,0,0
00231691,판타지오,032800,0,0
01089378,디와이디,219550,0,0
01487446,씨엔알리서치,359090,0,0
00145190,유화증권,003460,0,0
00160205,한국내화,010040,0,0
00628860,네오위즈,095660,0,0
00301112,삼화네트웍스,046390,0,0
00886792,루켄테크놀러지스,162120,0,0
00471068,덕산하이메탈,077360,0,0
00576789,디젠스,113810,0,0
00360674,코위버,056360,0,0
00222435,제이엠아이,033050,0,0
00252269,아이에이,038880,0,0
00133557,PN풍년,024940,0,0
00917861,슈피겐코리아,192440,0,0
00102618,계양전기,012200,0,0
00330044,캠시스,050110,0,0
01393721,포커스에이치엔에스,331380,0,0
00226316,호전실업,111110,0,0
01217014,트윔,290090,0,0
00126308,삼성엔지니어링,028050,0,0
00318662,CNT85,056730,0,0
01073678,얼라인드,238120,0,0
00268011,일레덱스홀딩스,033550,0,0
00129280,삼화전자공업,011230,0,0
01440153,에스에이티이엔지,351320,0,0
00141608,오리엔탈정공,014940,0,0
00365934,코세스,089890,0,0
00130046,다함이텍,009280,0,0
00842619,레고켐바이오,141080,0,0
00130879,서울식품공업,004410,0,0
00404288,아진엑스텍,059120,0,0
00135467,승일,049830,0,0
00809429,한일진공,123840,0,0
00384717,비엘팜텍,065170,0,0
00148531,제이스코홀딩스,023440,0,0
01365825,피에스케이,319660,0,0
00261887,티엘아이,062860,0,0
00541349,셀트리온제약,068760,0,0
00131197,서원,021050,0,0
00203290,한국콜마홀딩스,024720,0,0
00861720,이즈미디어,181340,0,0
01620713,교보12호스팩,421800,0,0
00819374,나무가,190510,0,0
00141404,영풍제지,006740,0,0
01293953,싸이버원,356890,0,0
00225159,SNT홀딩스,036530,0,0
00403766,피피아이,062970,0,0
00108001,남화토건,091590,0,0
00413046,셀트리온,068270,0,0
00180263,리더스코스메틱,016100,0,0
00116268,동성제약,002210,0,0
00260383,대한유화,006650,0,0
01035942,메디안디노스틱,233250,0,0
01301252,티이엠씨,425040,0,0
00579971,칩스앤미디어,094360,0,0
01230255,제주맥주,276730,0,0
01063556,질경이,233990,0,0
00138057,써니전자,004770,0,0
00364847,이글루,067920,0,0
00128607,삼천리자전거,024950,0,0
00883980,아이디스,143160,0,0
00106395,금호전기,001210,0,0
00268251,다산네트웍스,039560,0,0
00104999,윌비스,008600,0,0
